Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,null,null,null,null,null,null
2007-01-01,76.260002,76.269997,70.639999,74.099998,55.184322,504732000
2007-02-01,74.580002,76.099998,71.180000,71.680000,53.382076,401419000
2007-03-01,70.900002,76.349998,69.019997,75.449997,56.429005,611224400
2007-04-01,75.349998,80.879997,75.279999,79.379997,59.368233,451394900
2007-05-01,79.500000,84.320000,79.050003,83.169998,62.202793,443527200
2007-06-01,83.559998,86.580002,80.849998,83.879997,63.004620,506912200
2007-07-01,84.500000,93.620003,84.120003,85.129997,63.943546,559643700
2007-08-01,84.989998,87.900002,78.760002,85.730003,64.394218,687544000
2007-09-01,85.309998,93.660004,83.879997,92.559998,69.802368,446258200
2007-10-01,92.449997,95.269997,89.669998,91.989998,69.372498,513452200
2007-11-01,89.830002,90.949997,83.370003,89.160004,67.238304,548075900
2007-12-01,88.970001,95.099998,87.709999,93.690002,70.929207,386223600
2008-01-01,94.150002,94.739998,77.550003,85.699997,64.880264,614692200
2008-02-01,87.699997,90.169998,80.360001,87.010002,65.872055,491055000
2008-03-01,86.830002,88.500000,81.970001,84.580002,64.308746,608218000
2008-04-01,84.800003,94.930000,84.260002,93.070000,70.763947,483071200
2008-05-01,90.099998,96.120003,87.599998,88.760002,67.486900,575856500
2008-06-01,88.089996,90.500000,84.769997,88.129997,67.307266,565696300
2008-07-01,87.870003,89.629997,79.099998,80.430000,61.426594,685444100
2008-08-01,80.550003,81.500000,76.139999,80.010002,61.105820,543017900
2008-09-01,78.040001,82.000000,71.510002,77.660004,59.613983,770778000
2008-10-01,77.190002,81.750000,56.509998,74.120003,56.896561,1384259200
2008-11-01,73.449997,81.029999,67.540001,80.150002,61.525375,1006470600
2008-12-01,77.889999,83.639999,72.680000,79.830002,61.632118,996412900
2009-01-01,80.059998,82.730003,74.010002,76.480003,59.045757,844182900
2009-02-01,76.059998,80.500000,67.900002,67.900002,52.421658,771508100
2009-03-01,67.000000,71.489998,61.860001,68.099998,52.840988,933460300
2009-04-01,67.040001,71.150002,64.500000,66.669998,51.731411,632859600
2009-05-01,67.129997,71.389999,65.599998,69.349998,53.810917,530458500
2009-06-01,70.459999,74.830002,68.080002,69.910004,54.569145,596987800
2009-07-01,70.669998,72.790001,64.459999,70.389999,54.943813,560318900
2009-08-01,70.959999,71.889999,66.089996,69.150002,53.975914,437664700
2009-09-01,68.930000,71.080002,67.830002,68.610001,53.881538,419180700
2009-10-01,68.389999,75.000000,66.110001,71.669998,56.284649,501283200
2009-11-01,72.050003,76.540001,71.040001,75.070000,58.954758,356438100
2009-12-01,76.000000,76.300003,67.639999,68.190002,53.863396,648945000
